SNo,Class Name,GPT3 discription
0,L type clamp back,"

L type clamp back is a human action that involves positioning the arms in an L-shaped manner and performing a clamp-like motion towards the back."
1,wink_ Blink an eye,"

Wink_ Blink an eye is a human action that involves closing one eye briefly while keeping the other open."
2,W type clamp back,"

W type clamp back is a human action that involves positioning the arms in a W-shape and performing a clamp-like motion towards the back."
3,YTW Rowing Action,"

YTW Rowing Action is a human action resembling a rowing motion performed with the arms while making Y, T, and W shapes."
4,Three Step Run,"

Three Step Run is a human action involving a rapid sequence of three running steps, typically part of a larger movement or routine."
5,Upper and Lower Swing Arms,"

Upper and Lower Swing Arms is a human action that involves swinging the arms up and down in a controlled, rhythmic motion."
6,9th set of broadcast gymnastics stretching exercises,"

9th set of broadcast gymnastics stretching exercises is a human action involving a series of movements designed to stretch the body as part of the ninth set of broadcast gymnastics."
7,9th set of broadcast gymnastics side movements,"

9th set of broadcast gymnastics side movements is a human action involving lateral movements as part of the ninth set of broadcast gymnastics."
8,9th set of broadcast gymnastics full body exercise,"

9th set of broadcast gymnastics full body exercise is a human action involving coordinated movements that engage the entire body."
9,9th set of broadcast gymnastics chest expansion exercise,"

9th set of broadcast gymnastics chest expansion exercise is a human action that involves expanding the chest through specific movements to improve flexibility and strength."
10,9th set of broadcast gymnastics organizing exercises,"

9th set of broadcast gymnastics organizing exercises is a human action involving movements aimed at organizing and calming the body after an intense session."
11,9th set of broadcast gymnastics jump sports,"

9th set of broadcast gymnastics jump sports is a human action that involves jumping movements integrated into the ninth set of broadcast gymnastics."
12,9th set of broadcast gymnastics kicking exercises,"

9th set of broadcast gymnastics kicking exercises is a human action involving kicking movements as part of the ninth set of broadcast gymnastics."
13,Alternate Front Kick,"

Alternate Front Kick is a human action that involves kicking forward alternately with each leg."
14,Alternate Knee Kick to Tip,"

Alternate Knee Kick to Tip is a human action where the knees are kicked upwards alternately towards the tip or front."
15,Alternate Front Kick Jump,"

Alternate Front Kick Jump is a human action combining alternating front kicks with a jump."
16,Alternate Knee Lift,"

Alternate Knee Lift is a human action where the knees are lifted alternately in a controlled manner."
17,Alternating Knee Strike,"

Alternating Knee Strike is a human action that involves striking upwards with alternating knees."
18,Stretch,"

Stretch is a human action where muscles are extended or flexed to improve flexibility and relieve tension."
19,Head down to play with phone,"

Head down to play with phone is a human action where the head is tilted downwards while focusing on a phone."
20,Body flexion and rotation,"

Body flexion and rotation is a human action involving bending the body and rotating it at the same time."
21,Body Rotation Movement,"

Body Rotation Movement is a human action where the torso is rotated in a circular motion."
22,Side Lift,"

Side Lift is a human action that involves lifting the body or limbs laterally to the side."
23,Side Lift Swivel Arm,"

Side Lift Swivel Arm is a human action where the body is lifted to the side while the arm performs a swiveling motion."
24,Side Lunge Squat,"

Side Lunge Squat is a human action combining a lateral lunge with a squat."
25,Bow Side Flat Lift,"

Bow Side Flat Lift is a human action that involves bowing the body while lifting it sideways in a flat motion."
26,Bow Rowing Action,"

Bow Rowing Action is a human action that resembles a rowing motion performed while bowing the body."
27,Bow Straight Arm Rowing,"

Bow Straight Arm Rowing is a human action that involves a straight-arm rowing motion while the body is in a bowing position."
28,Pouring Water,"

Pouring Water is a human action that involves the motion of tipping a container to pour out its contents."
29,Make gestures,"

Make gestures is a human action where one communicates or expresses through body movements, particularly hand gestures."
30,Make a Face,"

Make a Face is a human action that involves manipulating facial expressions to convey emotions or humor."
31,eavesdropping action,"

Eavesdropping action is a human action where one tries to listen to someone else's conversation discreetly."
